Key,Type,Desc,English,Chinese
PerkInfo/Potato Seeds__tooltip,Text,,You start with some potato seeds,开始游戏时有一些马铃薯种子。
PerkInfo/Rations,Text,,Rations,口粮
PerkInfo/Rations__tooltip,Text,,You start with some food and seeds for crops.,开始游戏时有一些食物和作物种子。
PerkInfo/Spring,Text,,Spring,春季
PerkInfo/Spring__tooltip,Text,,You start in spring.,游戏从春季开始。
PerkInfo/Tools,Text,,Tools,工具
PerkInfo/Tools__tooltip,Text,,You start with an axe and a pick.,开始游戏时有斧头和稿。
PerkInfo/Weapons,Text,,Weapons,武器
PerkInfo/Weapons__tooltip,Text,,You start with some basic weapons.,开始游戏时有一些基本武器。
Place Building,Text,,Place Building,放置建筑物
Plant,Text,,Plant,植物
Play-Bold SDF large_white,Material,,Play-Bold SDF large_white,NotoSansSC-Chinese bold_white
Play-Bold SDF regular_black,Material,,Play-Regular SDF regular_black,NotoSansSC-Chinese bold_black
Play-Bold SDF regular_white,Material,,Play-Bold SDF regular_white,NotoSansSC-Chinese bold_white
Play-Regular SDF regular_black,Material,,Play-Regular SDF regular_black,NotoSansSC-Chinese regular_black
Play-Regular SDF regular_white,Material,,Play-Regular SDF regular_white,NotoSansSC-Chinese regular_white
Play-Regular SDF small_white,Material,,Play-Regular SDF small_white,NotoSansSC-Chinese small_white
Please describe the bug and clearly describe the steps required to replicate the issue.,Text,,Please describe the bug and clearly describe the steps required to replicate the issue.,请描述您遇到的错误和遇到错误前的操作。
Please fill in the email field,Text,,Please fill in the email field,请填写电子邮件地址
Points,Text,,Points,点数
Points Used:,Text,,Points Used:,使用的点数：
Population,Text,,Population,人口
Popup,Text,,Popup,弹窗
Preset,Text,,Preset,预设
Preview Image (screenshot.png jpg gif in mod folder),Text,,Preview Image (screenshot.png / jpg / gif in mod folder),预览图片（mod文件夹中的screenshot.png/jpg/gif）
Priority,Text,,Priority,优先级
Progress,Text,,Progress,进展
Prospecting,Text,,Prospecting,勘探
Quality,Text,,Quality,质量
Quantity,Text,,Quantity,数量
Quit,Text,,Quit,退出
Rain,Text,,Rain,雨水
Random,Text,,Random,随机
Randomise,Text,,Randomise,随机
Refresh,Text,,Refresh,刷新
Relationships,Text,,Relationships,关系
Remove,Text,,Remove,移除
Replace,Text,,Replace,替换
Replace terrain material or right click to remove build wall orders.,Text,,Replace terrain material or right click to remove build wall orders.,替换地形材质或单击右键来移除建造墙的命令。
Research,Text,,Research,研究
ResearchInfo/Advanced Bows,Text,,Advanced Arcs,高级弓
ResearchInfo/Advanced Clothing,Text,,Advanced Clothing,高级服装
ResearchInfo/Advanced Crossbows,Text,,Advanced Crossbows,高级弩
ResearchInfo/Advanced cooking,Text,,Advanced cooking,高级烹饪
ResearchInfo/Ale,Text,,But,麦芽酒
ResearchInfo/Aluminium,Text,,Aluminum,铝
ResearchInfo/Animal Husbandry,Text,,Animal Husbandry,畜牧业
ResearchInfo/Bags,Text,,Bags,袋子
ResearchInfo/Ballistas,Text,,Ballistas,弩炮
ResearchInfo/Barrels,Text,,Barrels,桶
ResearchInfo/Basic Armour,Text,,Basic Armor,基本盔甲
ResearchInfo/Basic Clothing,Text,,Basic Clothing,基本服装
ResearchInfo/Basic Decor,Text,,Basic Decor,基本装饰
ResearchInfo/Basic Furniture,Text,,Basic Furniture,基本家具
ResearchInfo/Basic Storage,Text,,Basic Storage,基本存储
ResearchInfo/Basic Tools,Text,,Based Tool,基于工具
ResearchInfo/Basic Weapons,Text,,Basic Weapons,基本武器
ResearchInfo/Blunt Weapons,Text,,Blunt Weapons,钝器
ResearchInfo/Bookshelves,Text,,Bookshelves,书架
ResearchInfo/Boots and Gauntlets,Text,,Boots And Gauntlets,靴子和护手
ResearchInfo/Bowyer,Text,,Bowyer,制弓
ResearchInfo/Bronze,Text,,Bronze,青铜
ResearchInfo/Buckler,Text,,Buckler,圆盾
ResearchInfo/Burning Oil,Text,,Burning Oil,燃烧的油
ResearchInfo/Butchery,Text,,Butchery,屠宰
ResearchInfo/Catapults,Text,,Catapults,石弩
ResearchInfo/Cider,Text,,Cider,苹果酒
ResearchInfo/Cloaks,Text,,Cloaks,披风
ResearchInfo/Crossbows,Text,,Crossbows,弩
ResearchInfo/Dining Rooms,Text,,Dining Rooms,餐厅
ResearchInfo/Diplomacy,Text,,Diplomacy,外交
ResearchInfo/Fences,Text,,Fences,围栏
ResearchInfo/Food preservation,Text,,Food preservation,食物储藏
ResearchInfo/Graves,Text,,Serious,坟墓
ResearchInfo/Hauberk,Text,,Breastplate,胸甲
ResearchInfo/Helmets,Text,,Helmets,头盔
ResearchInfo/Jewelry,Text,,Jewellery,珠宝
ResearchInfo/Juice,Text,,Juice,果汁
ResearchInfo/Ladders,Text,,Ladders,梯子
ResearchInfo/Lavish Meals,Text,,Lavish Meals,丰盛的饭菜
ResearchInfo/Loom,Text,,Loom,织布机
ResearchInfo/Metal Walls,Text,,Metal Walls,金属墙
ResearchInfo/Metal Weapons,Text,,Metal Weapons,金属武器
ResearchInfo/Metal working,Text,,Metal working,金属加工
ResearchInfo/Necklaces,Text,,Necklace,项链
ResearchInfo/Painting,Text,,Painting,绘画
ResearchInfo/Palisade walls,Text,,Palisade walls,栅栏墙
ResearchInfo/Pike,Text,,Pike,梭鱼
ResearchInfo/Polearms,Text,,Polearms,长柄武器
ResearchInfo/Reinforced Walls,Text,,Reinforced Walls,加固墙
ResearchInfo/Rings,Text,,Rings,戒指
ResearchInfo/Rock Salt,Text,,Rock Salt,岩盐
ResearchInfo/Salt Works,Text,,Salt Works,制盐
ResearchInfo/Smelting,Text,,Smelting,冶炼
ResearchInfo/Statues,Text,,Statues,雕像
ResearchInfo/Steel,Text,,Steel,钢
ResearchInfo/Still,Text,,Still,酿酒台
ResearchInfo/Stone Stairs,Text,,Stone Stairs,石台阶
ResearchInfo/Stone Walls,Text,,Stone Walls,石墙
ResearchInfo/Stonecrafting,Text,,Stonecrafting,石制品
ResearchInfo/Temperature Regulation,Text,,Temperature Regulation,温度调节
ResearchInfo/Thrown Weapons,Text,,Thrown Weapons,投掷武器
ResearchInfo/Titanium,Text,,Titanium,钛
ResearchInfo/Torches,Text,,Torches,火把
ResearchInfo/Trinkets,Text,,Trinkets,饰品
ResearchInfo/Two Handed Weapons,Text,,Two-Handed Weapon,双手武器
ResearchInfo/Vodka,Text,,Vodka,伏特加
ResearchInfo/Waterworks,Text,,Aqueduct,水工程
ResearchInfo/Windows,Text,,Windows,窗户
ResearchInfo/Wooden Stairs,Text,,Wooden Stairs,木台阶
Researching,Text,,Researching,研究
Reserved,Text,,Reserved,占有
Reserved by job,Text,,,
Right Hand,Text,,Right Hand,右手
Room,Text,,Room,房间
Room Quality,Text,,Room Quality,房间质量
Save,Text,,Save,保存
Save Game,Text,,Save Game,保存游戏
Save Games,Text,,Save Games,保存游戏
Save Load,Text,,Save / Load,保存/载入
Save Name,Text,,Save Name,存档名
Saving...,Text,,,
Seek Healthcare,Text,,Seek Healthcare,寻求治疗
Select a fresh water body for details. Fresh water is essential for the smooth running of a colony. Build a still near a water source to make drinks. Plants which are near water will grow faster. To make water flow upwards build pumps and windmills then connect them with mechanisms.,Text,,"Select a fresh water body for details.

Fresh water is essential for the smooth running of a colony. Build a still near a water source to make drinks. Plants which are near water will grow faster.

To make water flow upwards build pumps and windmills then connect them with mechanisms.","“选择一处淡水查看更多详细信息。

淡水对于一个群落的发展是必不可少的。在水源附近建一个酿酒台来制作饮料。靠近水的植物生长得更快。

为了使水向上流动，建造水泵和风车，然后用机械构件将它们连接起来。”"
Select a room to see details. Rooms are automatically created when small areas are completely enclosed with only one or more doors as exits.,Text,,"Select a room to see details.

Rooms are automatically created when small areas are completely enclosed with only one or more doors as exits.","“选择一个房间查看更多详细信息。

当一块小区域完全封闭，只有一个或多个门作为出口时，会自动创建房间。”"
Selected,Text,,Selected,选定
Share your save game on the Steam Workshop.,Text,,Share your save game on the Steam Workshop.,在Steam创意工坊上分享您的存档
Size,Text,,Size,尺寸
Size limit,Text,,Size limit,尺寸限制
SkillLevel/0,Text,,Dabbling,涉足
SkillLevel/1,Text,,Novice,初学
SkillLevel/10,Text,,Skilled,熟练
SkillLevel/11,Text,,Skilled,熟练
SkillLevel/12,Text,,Proficient,精通
SkillLevel/13,Text,,Proficient,精通
SkillLevel/14,Text,,Talented,天赋
SkillLevel/15,Text,,Talented,天赋
SkillLevel/16,Text,,Expert,专家
SkillLevel/17,Text,,Professional,专业
SkillLevel/18,Text,,Professional,专业
SkillLevel/19,Text,,Accomplished,高超
SkillLevel/2,Text,,Rookie,新秀
SkillLevel/20,Text,,Great,极好
SkillLevel/21,Text,,Master,驾驭
SkillLevel/22,Text,,High Master,高手
SkillLevel/23,Text,,Genius,天才
SkillLevel/24,Text,,Grand Master,大师
SkillLevel/25,Text,,Legendary,传奇
SkillLevel/3,Text,,Beginner,新手
SkillLevel/4,Text,,Mediocre,平庸
SkillLevel/5,Text,,Passable,尚可
SkillLevel/6,Text,,Adequate,合格
SkillLevel/7,Text,,Average,普通
SkillLevel/8,Text,,Competent,胜任
SkillLevel/9,Text,,Competent,胜任
SkillType/AnimalHusbandry,Text,,Animal Husbandry,驯养
SkillType/Archery,Text,,Archery,箭术
SkillType/ArmourMaking,Text,,Armour Making,制甲
SkillType/BluntWeapons,Text,,Blunt Weapons,钝器
SkillType/Bowyer,Text,,Bowyer,制弓
SkillType/Brewing,Text,,Brewing,酿造
SkillType/Carpentry,Text,,Carpentry,木工
SkillType/Climbing,Text,,Climbing,攀爬
SkillType/Cooking,Text,,Cooking,烹饪
SkillType/Crafting,Text,,Crafting,制造
SkillType/Dodging,Text,,Dodging,闪避
SkillType/Farming,Text,,Farming,农业
SkillType/Healthcare,Text,,Healthcare,医疗
SkillType/Herbalism,Text,,Herbalism,草药
SkillType/JewelryMaking,Text,,Jewelry Making,珠宝加工
SkillType/Masonry,Text,,Masonry,石工
SkillType/Mining,Text,,Mining,采矿
SkillType/Researcher,Text,,Researcher,研究
SkillType/Running,Text,,Running,奔跑
SkillType/Shields,Text,,Shields,盾牌
SkillType/SiegeEngineer,Text,,Siege Engineer,攻城专家
SkillType/SlashWeapons,Text,,Slash Weapons,劈砍武器
SkillType/Smelting,Text,,Smelting,冶炼
SkillType/StabWeapons,Text,,Stab Weapons,突刺武器
SkillType/WeaponMaking,Text,,Weapon Making,武器制作
SkillType/Weaving,Text,,Weaving,纺织
SkillType/Woodcutting,Text,,Woodcutting,伐木
SkillType/Writing,Text,,Writing,写作
Skills,Text,,Skills,技能
Slash Damage,Text,,Slash Damage,刀伤
Small,Text,,Small,小
Snow,Text,,Snow,雪
Some,Text,,,
Space,Text,,Space,空间
Speed,Text,,Speed,速度
Squad on standby,Text,,Squad on standby,小队待命
Stab Damage,Text,,Stab Damage,刺伤
Stamina,Text,,Stamina,耐力
Status,Text,,Status,状态
Stockpile Presets,Text,,Stockpile Presets,库存预设
Submit Save,Text,,Submit Save,提交保存
Tasks,Text,,Tasks,任务
Thoughts,Text,,Thoughts,思考
Tiny,Text,,Tiny,极小的
Too many beds ( -10 ),Text,,Too many beds ( -10 ),有太多的床（-10）
Too many points!,Text,,Too many points!,点数太多了！
Tool bonus,Text,,Tool bonus,工具加成
Total,Text,,Total,总
Trait,Text,,Trait,特征
TraitInfo/Adventurous,Text,,Adventurous,爱冒险
TraitInfo/Aggressive,Text,,Aggressive,好斗的
TraitInfo/Annoying,Text,,Annoying,烦人的
TraitInfo/Athletic,Text,,Athletic,健壮的
TraitInfo/AttackSpeed__bad,Text,,Attack speed penalty,攻击速度惩罚
TraitInfo/AttackSpeed__good,Text,,Attack speed bonus,攻击速度加成
TraitInfo/Attractive,Text,,Attractive,有吸引力
TraitInfo/BabyChance__bad,Text,,Infertile,不可生育
TraitInfo/BabyChance__good,Text,,Fertile,可生育
TraitInfo/Barely,Text,,Barely,勉强可能
TraitInfo/Bold,Text,,Bold,大胆的
TraitInfo/Boring,Text,,Boring,无趣的
TraitInfo/Calm,Text,,Calm,冷静的
TraitInfo/Careful,Text,,Careful,细心的
TraitInfo/Careless,Text,,Careless,粗心的
TraitInfo/Caring,Text,,Caring,乐于助人的
TraitInfo/CarryWeight__bad,Text,,Can carry less items,只能携带较少的物品
TraitInfo/CarryWeight__good,Text,,Can carry more items,可以携带更多的物品
TraitInfo/Charming,Text,,Charming,迷人的
TraitInfo/ChatHappiness__bad,Text,,Mood penalty from conversations,交谈中心情惩罚
TraitInfo/ChatHappiness__good,Text,,Mood bonus from conversations,交谈中心情加成
TraitInfo/Competitive,Text,,Competitive,好强的
TraitInfo/Content,Text,,Content,满足的
TraitInfo/Convincing,Text,,Convincing,可信的
TraitInfo/Coward,Text,,Coward,胆小鬼
TraitInfo/Decisive,Text,,Decisive,果断的
TraitInfo/Dependable,Text,,Dependable,可靠的
TraitInfo/Dim,Text,,Dim,暗淡的
TraitInfo/Distrusting,Text,,Distrusting,不信任
TraitInfo/DodgeChance__bad,Text,,Dodge chance penalty,闪避机会惩罚
TraitInfo/DodgeChance__good,Text,,Dodge chance bonus,闪避机会加成
TraitInfo/Extremely,Text,,Extremely,极端的
TraitInfo/Extroverted,Text,,Extrovert,外向的
TraitInfo/Fertile,Text,,Fertile,肥沃的
TraitInfo/FoodQuantity__bad,Text,,Eats less,厌食
TraitInfo/FoodQuantity__good,Text,,Eats more,贪食
TraitInfo/FriendChance__bad,Text,,Does not make friends easily,孤僻的
TraitInfo/FriendChance__good,Text,,Makes friends easily,好相处的
TraitInfo/Greedy,Text,,Greedy,贪婪
TraitInfo/Imaginative,Text,,Imaginative,富有想象力
TraitInfo/Indecisive,Text,,Indecisive,优柔寡断
TraitInfo/Industrious,Text,,Industrious,勤劳
TraitInfo/Infertile,Text,,Infertile,不可生育
TraitInfo/Insomia__bad,Text,,Sleeps more,贪睡
TraitInfo/Insomia__good,Text,,Sleeps less,睡得少
TraitInfo/Insomniac,Text,,Insomniac,失眠
TraitInfo/Inspiring,Text,,Inspiring,鼓舞人心
TraitInfo/Intelligent,Text,,Intelligent,悟性高
TraitInfo/Introverted,Text,,Introverted,内向的
TraitInfo/ItemQuality__bad,Text,,Penalty to quality of crafted items,制造物质量惩罚
TraitInfo/ItemQuality__good,Text,,Bonus to quality of crafted items,制造物质量加成
TraitInfo/Kind,Text,,Kind,友好的
TraitInfo/Lazy,Text,,Lazy,懒惰
TraitInfo/LearnSpeed__bad,Text,,Learns skills slower,学习更慢
TraitInfo/LearnSpeed__good,Text,,Learns skills faster,学习更快
TraitInfo/Mean,Text,,Mean,吝啬的
TraitInfo/Methodical,Text,,Methodical,有条理的
TraitInfo/MoodChangeSpeed__bad,Text,,Mood changes slower,情绪变化较慢
TraitInfo/MoodChangeSpeed__good,Text,,Mood changes faster,情绪变化较快
TraitInfo/Mood__bad,Text,,Lower base mood,较低的基础心情
TraitInfo/Mood__good,Text,,Higher base mood,较高的基础心情
TraitInfo/Morale__bad,Text,,Poor morale in combat,战斗中士气低落
TraitInfo/Morale__good,Text,,Good morale in combat,战斗中士气高昂
TraitInfo/NoJealous__bad,Text,,Does not get jealous,不会嫉妒
TraitInfo/NoJealous__good,Text,,Easily jealous,容易嫉妒
TraitInfo/Optimistic,Text,,Optimistic,乐观
TraitInfo/Pessimistic,Text,,Pessimistic,悲观
TraitInfo/ProspectingChance__bad,Text,,Bad at prospecting,不善于勘探
TraitInfo/ProspectingChance__good,Text,,Good at prospecting,善于勘探
TraitInfo/Psychopathic,Text,,Psychopathic,心理变态
TraitInfo/ResearchSpeed__bad,Text,,Penalty to research speed,研究速度惩罚
TraitInfo/ResearchSpeed__good,Text,,Bonus to research speed,研究速度加成
TraitInfo/Resourceful,Text,,Resourceful,足智多谋
TraitInfo/Scholarly,Text,,Scholarly,好学的
TraitInfo/ShieldChance__bad,Text,,Penalty to shield block chance,护盾防御机会惩罚
TraitInfo/ShieldChance__good,Text,,Bonus to shield block chance,护盾防御机会加成
TraitInfo/Simple,Text,,Simple,普通的
TraitInfo/Skill__bad,Text,,Learns {0} slower,学{0} 更慢
TraitInfo/Skill__good,Text,,Learns {0} faster,学{0} 更快
TraitInfo/Sleepy,Text,,Sleepy,瞌睡的
TraitInfo/Slightly,Text,,Slightly,瘦小的
TraitInfo/SquadLeaderMorale__bad,Text,,Poor squad leader,差的队长
TraitInfo/SquadLeaderMorale__good,Text,,Good squad leader,优秀的队长
TraitInfo/Strong,Text,,Strong,强壮的
TraitInfo/Toughness__bad,Text,,Fragile,脆弱的
TraitInfo/Toughness__good,Text,,Tough,强硬的
TraitInfo/Trusting,Text,,Confident,自信的
TraitInfo/Ugly,Text,,Ugly,丑陋的
TraitInfo/Unathletic,Text,,Unathletic,不健壮的
TraitInfo/Undemanding,Text,,Undemanding,低要求
TraitInfo/Unimaginative,Text,,Unimaginative,缺乏创造力
TraitInfo/Unreliable,Text,,Unreliable,不可信的
TraitInfo/Unresourceful,Text,,Unresourceful,束手无策
TraitInfo/Untrustworthy,Text,,Untrustworthy,不可靠的
TraitInfo/Very,Text,,Very,十足的
TraitInfo/WalkSpeed__bad,Text,,Slow runner,慢跑
TraitInfo/WalkSpeed__good,Text,,Fast runner,快跑
TraitInfo/Weak,Text,,Weak,虚弱的
TraitInfo/WorkSpeed__bad,Text,,Penalty to crafting speed,制作速度惩罚
TraitInfo/WorkSpeed__good,Text,,Bonus to crafting speed,制作速度加成
Traits,Text,,Traits,特征
Turned off,Text,,Turned off,关闭
Uniform,Text,,Uniform,制服
Uniforms,Text,,Uniforms,制服
Unlocked,Text,,Unlocked,未上锁
Unlocks,Text,,Unlocks,解锁
Upgrade,Text,,Upgrade,升级
Upload,Text,,Upload,上传
Upload Bug Report,Text,,Upload Bug Report,发送错误报告
Upload Mod,Text,,Upload Mod,上传Mod
Upload Save,Text,,Upload Save,上传存档
Upload or update your mod to the Steam Workshop.,Text,,Upload or update your mod to the Steam Workshop.,将您的Mod上传或更新至Stema创意工坊。
Upload steam workshop,Text,,Upload steam workshop,上传至Steam创意工坊
Upload your save game to help with finding bugs.,Text,,Upload your save game to help with finding bugs.,上传您的存档以帮助修复错误。
Uploading,Text,,Uploading,上传中
Use Medical Items,Text,,Use Medical Items,使用医疗物品
Use barrels,Text,,Use barrels,使用桶
Value,Text,,Value,值
Version,Text,,Version,版本
Very Small,Text,,Very Small,很小
VeryHigh,Text,,,
VeryLow,Text,,VeryLow,极低
Vitals,Text,,Vitals,要害
Warmth,Text,,Warmth,热情
"Warning, starting area is {0} water.",Text,,"Warning, starting area is {0} water.",警告，起始区域水量为{0}。
"Warning, temperatures are low in this area ({0}). Lower temperatures make starting out harder.",Text,,"Warning, temperatures are low in this area ({0}). Lower temperatures make starting out harder.",警告，此区域温度较低（{0}）。低温会使开始更艰难。
Water,Text,,Water,水
Weight,Text,,Weight,重量
Workers will not havest plants which have not yet reached maturity.,Text,,Workers will not havest plants which have not yet reached maturity.,工人不能收获尚未成熟的植物。
Worn,Text,,Worn,旧的
Yes,Text,,Yes,是的
bed,Text,,bed,床
crash,Text,,crash,崩溃
edit uniforms,Text,,edit uniforms,编辑制服
find items on floor,Text,,find items on floor,在地板上找到物品
floor,Text,,floor,地板
"from colonist,",Text,,,
from job,Text,,,
from job.,Text,,,
healthcare settings,Text,,healthcare settings,医疗设施
hits,Text,,hits,点击
menu,Text,,menu,菜单
mods,Text,,mods,MOD
no,Text,,no,不
ok,Text,,ok,好的
per day,Text,,per day,每天
points,Text,,points,点数
replace,Text,,replace,替换
replace walls or floor,Text,,replace walls or floor,替换墙壁或地板
selected,Text,,selected,选定
size,Text,,size,尺寸
tables and chairs,Text,,tables and chairs,桌椅
upload,Text,,upload,上传
walls,Text,,walls,墙
walls and floor,Text,,walls and floor,墙和地板
workshop,Text,,workshop,工坊
{0} years {1} months,Text,,{0} years {1} months,{0}年{1}月
{0}{1}Select items which will be used to make {2}.,Text,,{0} {1} Select the items to use to create {2}.,{0} {1}选择用于创建{2}的部分。
